rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0067.jpg,26.8,0.7381,0.6477,0.7143,1.0,7,5,False,True
2,frame_0009.jpg,3.6,0.7295,0.8875,0.2857,1.0,2,2,False,True
3,frame_0016.jpg,6.4,0.7191,0.6097,0.7143,1.0,5,5,False,True
4,frame_0074.jpg,29.6,0.7121,0.7671,0.4286,1.0,6,3,False,True
5,frame_0002.jpg,0.8,0.7002,0.6576,0.5714,1.0,6,4,False,True
6,frame_0030.jpg,12.0,0.691,0.7248,0.4286,1.0,7,3,False,True
7,frame_0291.jpg,116.4,0.6814,0.684,0.5714,0.84,7,4,False,True
8,frame_0077.jpg,30.8,0.6788,0.6627,0.5714,0.88,7,4,False,False
9,frame_0076.jpg,30.4,0.6761,0.5557,0.7143,0.92,8,5,False,False
10,frame_0293.jpg,117.2,0.6761,0.791,0.4286,0.76,5,3,False,False
11,frame_0073.jpg,29.2,0.6639,0.6706,0.4286,1.0,6,3,False,False
12,frame_0080.jpg,32.0,0.6618,0.6767,0.5714,0.76,5,4,False,True
13,frame_0079.jpg,31.6,0.6469,0.6309,0.5714,0.8,8,4,False,False
14,frame_0290.jpg,116.0,0.6368,0.6964,0.4286,0.8,7,3,False,False
15,frame_0032.jpg,12.8,0.6348,0.5267,0.5714,1.0,5,4,False,False
16,frame_0229.jpg,91.6,0.6328,0.805,0.7143,0.08,10,5,False,True
17,frame_0075.jpg,30.0,0.6314,0.6216,0.4286,0.96,7,3,False,False
18,frame_0133.jpg,53.2,0.628,0.5132,0.5714,1.0,9,4,False,True
19,frame_0078.jpg,31.2,0.6228,0.7381,0.2857,0.84,7,2,False,False
20,frame_0186.jpg,74.4,0.6216,0.7986,0.7143,0.04,9,5,False,True
21,frame_0020.jpg,8.0,0.6153,0.7448,0.1429,1.0,3,1,False,False
22,frame_0386.jpg,154.4,0.6144,0.7043,0.7143,0.24,8,5,False,True
23,frame_0283.jpg,113.2,0.6081,0.8368,0.2857,0.52,5,2,False,False
24,frame_0318.jpg,127.2,0.6029,0.767,0.5714,0.24,7,4,False,False
25,frame_0378.jpg,151.2,0.5993,0.738,0.7143,0.08,11,5,False,False
26,frame_0377.jpg,150.8,0.597,0.7174,0.7143,0.12,10,5,False,False
27,frame_0382.jpg,152.8,0.5963,0.5607,1.0,0.08,10,7,False,False
28,frame_0328.jpg,131.2,0.5885,0.8021,0.5714,0.08,13,4,False,False
29,frame_0379.jpg,151.6,0.5802,0.8015,0.5714,0.04,9,4,False,False
30,frame_0000.jpg,0.0,0.5781,0.5848,0.2857,1.0,7,2,False,False
31,frame_0276.jpg,110.4,0.5773,0.7158,0.5714,0.24,10,4,False,False
32,frame_0028.jpg,11.2,0.577,0.5825,0.2857,1.0,3,2,False,False
33,frame_0277.jpg,110.8,0.5744,0.694,0.5714,0.28,8,4,False,False
34,frame_0329.jpg,131.6,0.5741,0.7733,0.5714,0.08,10,4,False,False
35,frame_0128.jpg,51.2,0.5733,0.5535,0.4286,0.84,7,3,False,False
36,frame_0127.jpg,50.8,0.5724,0.5676,0.4286,0.8,7,3,False,False
37,frame_0185.jpg,74.0,0.5722,0.6839,0.7143,0.08,8,5,False,False
38,frame_0131.jpg,52.4,0.5698,0.4984,0.4286,0.96,5,3,False,False
39,frame_0210.jpg,84.0,0.5698,0.7818,0.1429,0.68,3,1,False,False
40,frame_0302.jpg,120.8,0.5698,0.7224,0.4286,0.4,7,3,False,False
41,frame_0172.jpg,68.8,0.5664,0.5442,0.7143,0.4,6,5,False,False
42,frame_0205.jpg,82.0,0.5643,0.6692,0.2857,0.72,2,2,False,False
43,frame_0033.jpg,13.2,0.5627,0.554,0.2857,1.0,7,2,False,False
44,frame_0397.jpg,158.8,0.5606,0.7841,0.4286,0.2,7,3,False,False
45,frame_0012.jpg,4.8,0.5594,0.5473,0.2857,1.0,4,2,False,False
46,frame_0013.jpg,5.2,0.5561,0.5407,0.2857,1.0,4,2,False,False
47,frame_0031.jpg,12.4,0.556,0.5406,0.2857,1.0,8,2,False,False
48,frame_0287.jpg,114.8,0.555,0.6666,0.2857,0.68,7,2,False,False
49,frame_0119.jpg,47.6,0.5515,0.6538,0.4286,0.48,4,3,False,False
50,frame_0021.jpg,8.4,0.5489,0.5263,0.2857,1.0,5,2,False,False
51,frame_0011.jpg,4.4,0.5482,0.525,0.2857,1.0,4,2,False,False
52,frame_0319.jpg,127.6,0.548,0.6412,0.5714,0.28,9,4,False,False
53,frame_0129.jpg,51.6,0.544,0.5646,0.2857,0.88,6,2,False,False
54,frame_0003.jpg,1.2,0.5426,0.5137,0.2857,1.0,6,2,False,False
55,frame_0069.jpg,27.6,0.5406,0.5954,0.1429,1.0,5,1,False,False
56,frame_0169.jpg,67.6,0.5401,0.7008,0.2857,0.52,7,2,False,False
57,frame_0367.jpg,146.8,0.5374,0.7856,0.4286,0.08,9,3,False,False
58,frame_0109.jpg,43.6,0.5368,0.6988,0.5714,0.08,6,4,False,False
59,frame_0307.jpg,122.8,0.5336,0.6444,0.5714,0.2,7,4,False,False
60,frame_0132.jpg,52.8,0.5323,0.4932,0.2857,1.0,7,2,False,False
61,frame_0001.jpg,0.4,0.5286,0.4857,0.2857,1.0,9,2,False,False
62,frame_0014.jpg,5.6,0.5273,0.4832,0.2857,1.0,5,2,False,False
63,frame_0387.jpg,154.8,0.5232,0.7093,0.4286,0.2,11,3,False,False
64,frame_0176.jpg,70.4,0.5211,0.6034,0.5714,0.24,7,4,False,False
65,frame_0108.jpg,43.2,0.5198,0.7664,0.4286,0.04,9,3,False,False
66,frame_0022.jpg,8.8,0.5192,0.467,0.2857,1.0,5,2,False,False
67,frame_0215.jpg,86.0,0.5168,0.5845,0.4286,0.48,3,3,False,False
